ResponseId,StartDate,Finished,Duration_secs,Role_code,Role_label,Role_original,Tools_text,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_usage,Q22_openness_self,Q23_positive_effect,Q24_team_openness,Q25_difficulty,BirthYear,Age_2022,YrsAtOrigin,YrsInEnergy,Education_code,Education_ordinal,Education_label,Gender_code,Gender_label,domain_Data_Analytics,domain_Comm_Collab,domain_Safety_Security,domain_Ethics_Responsibility,domain_Digital_Innovation,domain_Coding
R_ujCvMNjdPiKBYEF,2022-11-15,1,769,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,1965,57,12.0,12.0,2,3,Bachelor's,2,Female,1.25,1.75,2.0,1.6667,1.0,1.0
R_3qEzQalSviZwlBd,2022-11-15,1,505,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,2.0,1985,37,7.0,10.0,2,3,Bachelor's,1,Male,3.75,3.25,3.6667,2.0,2.0,1.0
R_3Rlo2EpJ5JhXxlo,2022-11-15,1,362,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Other",2.0,4.0,2.0,1.0,5.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,1975,47,5.0,5.0,1,1,High school,1,Male,2.25,3.5,3.6667,3.3333,2.6667,3.0
R_CeJOanfvZ4GWrx7,2022-11-15,1,912,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint,Other",1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,1974,48,11.0,11.0,3,4,Master's,2,Female,1.75,3.25,3.0,2.0,1.6667,1.0
R_PGwCYllS8fQkcmZ,2022-11-16,1,804,6,Graduate,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",4.0,5.0,4.0,4.0,6.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1966,56,0.167,0.167,5,,Other,2,Female,4.25,4.5,5.0,4.3333,4.6667,3.0
R_2PsPB6RR69b8Zsn,2022-11-15,1,9082,6,Graduate,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",5.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,,,0.75,0.75,3,4,Master's,1,Male,4.5,3.75,3.6667,2.6667,2.6667,5.0
R_3HMRvZo2SoE89FU,2022-11-16,1,533,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1969,53,13.0,30.0,3,4,Master's,1,Male,3.25,3.75,2.6667,2.3333,2.3333,2.0
R_1GCap0wbO89k6VI,2022-11-16,1,465,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",5.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1975,47,8.0,13.0,7,2,Trade/professional cert,1,Male,5.25,4.5,4.6667,5.0,4.3333,3.0
R_pyFYNY9DO4Zkjap,2022-11-16,1,420,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0,3.0,,,8.0,20.0,7,2,Trade/professional cert,1,Male,2.75,3.5,4.6667,3.0,2.6667,1.0
R_2qlXa5EioTanaCh,2022-11-16,1,755,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,1966,56,9.5,34.0,1,1,High school,1,Male,3.0,3.0,4.0,2.6667,2.0,2.0
R_30bFDBhYGaPUS0v,2022-11-16,1,2894,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,1985,37,4.0,4.0,2,3,Bachelor's,2,Female,3.0,3.5,3.0,2.6667,3.6667,2.0
R_1DT3CE8GHUakbxE,2022-11-16,1,653,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,1978,44,1.0,20.0,2,3,Bachelor's,2,Female,3.25,3.75,3.3333,2.3333,3.0,2.0
R_12hHV6bOnktJtJF,2022-11-16,1,793,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Other",1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,,,12.0,20.0,7,2,Trade/professional cert,1,Male,1.75,2.0,2.6667,1.6667,1.3333,2.0
R_C8Hx0aX5OlmLgRz,2022-11-16,1,514,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",2.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,1981,41,10.0,12.0,2,3,Bachelor's,1,Male,2.75,3.25,3.3333,4.0,3.6667,2.0
R_9mHJivIokTNaFwZ,2022-11-16,1,619,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,,,4.5,19.0,7,2,Trade/professional cert,1,Male,5.5,5.5,5.6667,5.0,4.3333,2.0
R_3NCKUR0aWiCsZt6,2022-11-16,1,559,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Python or R,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1982,40,8.0,8.0,3,4,Master's,1,Male,5.25,5.0,4.3333,3.6667,4.6667,4.0
R_3qxMC4Y1lVQUIF2,2022-11-16,1,987,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,,,4.0,14.0,3,4,Master's,1,Male,4.75,5.0,3.3333,2.0,4.3333,4.0
R_2S9x73aYfstVkYQ,2022-11-16,1,502,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Other",6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,1981,41,3.0,20.0,3,4,Master's,2,Female,5.75,5.5,4.6667,5.0,5.0,2.0
R_3pfgH7efgrUZhKj,2022-11-16,1,685,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1988,34,9.0,9.0,2,3,Bachelor's,1,Male,4.0,3.5,4.6667,3.6667,3.6667,3.0
R_3oXTXlAvpOGy5JF,2022-11-16,1,419,7,Other,Other,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,4.0,3.0,1978,44,5.0,5.0,3,4,Master's,1,Male,2.5,2.0,3.0,3.0,1.3333,1.0
R_2X5aRYBXiiPtzgy,2022-11-16,1,818,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint,Other",3.0,4.0,4.0,5.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,3.0,2.0,5.0,5.0,3.0,3.0,1968,54,4.0,,3,4,Master's,1,Male,4.0,4.75,4.3333,5.0,5.3333,3.0
R_3PtNFjOPxaGZT1Y,2022-11-16,1,515,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,1976,46,1.5,15.0,2,3,Bachelor's,2,Female,3.25,3.25,4.0,2.6667,3.3333,2.0
R_2Qi9BPrIgxTgEtE,2022-11-15,1,64023,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",4.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,,,8.0,8.0,2,3,Bachelor's,2,Female,3.75,5.25,4.0,4.3333,4.6667,2.0
R_1Fy3QhCPaeks3WN,2022-11-16,1,423,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",3.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,1989,33,0.25,10.0,2,3,Bachelor's,1,Male,4.25,3.75,4.3333,3.3333,3.3333,4.0
R_1OirEmxApuMEgwc,2022-11-16,1,651,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,1980,42,17.0,17.0,2,3,Bachelor's,1,Male,3.75,4.0,4.6667,4.3333,2.0,1.0
R_3O7c3yUp7SVBew1,2022-11-16,1,591,6,Graduate,Graduate,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1997,25,2.0,2.0,2,3,Bachelor's,2,Female,3.75,3.5,2.6667,2.0,2.3333,2.0
R_UXs5Drdq6AsqWf7,2022-11-16,1,508,1,Field Operations,Field Operations,"MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,,,9.0,30.0,7,2,Trade/professional cert,1,Male,3.25,2.5,3.0,2.0,2.0,3.0
R_8qtOo2Szk76jpfj,2022-11-16,1,449,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,1986,36,4.0,12.0,2,3,Bachelor's,2,Female,3.5,3.75,4.0,2.3333,2.0,3.0
R_O72BE5fVRGCsk93,2022-11-16,1,1111,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1984,38,14.0,14.0,2,3,Bachelor's,1,Male,4.0,3.5,4.0,2.6667,2.0,2.0
R_3oyxHHsqYztaDZJ,2022-11-16,1,693,6,Graduate,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,5.0,4.0,6.0,6.0,5.0,6.0,3.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,1996,26,0.5,3.0,2,3,Bachelor's,1,Male,4.5,5.0,5.0,4.3333,4.6667,2.0
R_W6iFB7eEJNLqAYF,2022-11-16,1,1028,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",4.0,6.0,5.0,4.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,1.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,1961,61,15.0,15.0,2,3,Bachelor's,1,Male,4.75,4.25,4.6667,3.6667,5.0,5.0
R_3rZAaELy6p66UfW,2022-11-16,1,379,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint",4.0,3.0,3.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,1982,40,9.0,16.0,2,3,Bachelor's,1,Male,3.75,4.5,4.0,5.3333,4.3333,4.0
R_cGTPqfy7TJIwoUN,2022-11-16,1,314,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire",3.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,,3.0,5.0,5.0,3.0,6.0,2.0,3.0,5.0,4.0,4.0,4.0,1980,42,19.0,19.0,2,3,Bachelor's,2,Female,4.75,5.75,5.0,4.0,4.6667,2.0
R_333bnNZcIZEebaH,2022-11-16,1,714,6,Graduate,Corporate,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",1.0,3.0,4.0,3.0,6.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,1977,45,0.3,0.3,3,4,Master's,2,Female,2.75,3.5,4.0,2.6667,2.3333,1.0
R_3qdJAQKvMCpTrrW,2022-11-16,1,491,1,Field Operations,Field Operations,"MyDay, Tableau, PI Vision, or Spotfire",1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1960,62,,,1,1,High school,2,Female,1.25,2.25,1.0,1.6667,1.0,1.0
R_3MxKXPqQjXtOjKQ,2022-11-16,1,1356,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",5.0,6.0,6.0,6.0,3.0,6.0,5.0,4.0,3.0,3.0,3.0,6.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,,1978,44,7.0,12.0,2,3,Bachelor's,1,Male,5.75,4.5,3.0,3.0,4.3333,5.0
R_2TZriRb7gT50a4Q,2022-11-16,1,559,7,Other,Other,"Microsoft Excel, Word, or PowerPoint",1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1980,42,6.0,9.0,1,1,High school,1,Male,1.5,2.5,3.3333,2.3333,1.6667,1.0
R_2ePBeeDKzXLJYXp,2022-11-16,1,271,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,1978,44,1.0,22.0,3,4,Master's,2,Female,3.5,3.5,3.6667,3.0,4.0,4.0
R_Ov9In2WaTvbiGR3,2022-11-16,1,9402,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,1971,51,1.5,30.0,3,4,Master's,2,Female,2.75,3.25,3.6667,4.0,1.6667,1.0
R_2y2yzCnrArGPREZ,2022-11-16,1,400,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,4.0,3.0,1.0,1985,37,6.0,6.0,4,5,Doctoral,1,Male,4.0,3.75,2.3333,2.3333,1.6667,2.0
R_C2qtWjkNQx9erHH,2022-11-16,1,299,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Other",2.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,3.0,1973,49,9.0,14.0,3,4,Master's,1,Male,3.25,3.25,4.3333,3.0,3.0,1.0
R_3t5hiqgbsZx19qF,2022-11-16,1,16256,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",1.0,5.0,5.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,1991,31,8.0,8.0,3,4,Master's,1,Male,4.25,3.25,2.6667,2.0,2.6667,2.0
R_AgGS6K6iGAZy4zT,2022-11-16,1,1272,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,1981,41,5.0,10.0,3,4,Master's,1,Male,2.5,3.5,3.3333,3.6667,2.3333,2.0
R_305Ar58COgc6W9l,2022-11-15,1,77927,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1973,49,9.0,20.0,2,3,Bachelor's,1,Male,3.75,3.25,3.3333,3.0,3.0,2.0
R_1eWaK7XQpukqXnw,2022-11-16,1,274,6,Graduate,Corporate,"Microsoft Excel, Word, or PowerPoint",3.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,1985,37,1.0,1.0,3,4,Master's,1,Male,4.25,4.75,5.0,4.0,4.3333,2.0
R_3kuKSOnsuMDi24t,2022-11-16,1,465,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,,,14.0,14.0,7,2,Trade/professional cert,1,Male,4.0,3.5,4.0,2.3333,2.3333,1.0
R_30kkPKYC8jST2lw,2022-11-16,1,1007,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint",2.0,2.0,5.0,6.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,2.0,,,3.0,10.0,3,4,Master's,1,Male,3.75,3.5,4.0,4.6667,4.0,1.0
R_2fBOvHyOODbkycQ,2022-11-16,1,500,3,Commercial,Commercial,"Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",1.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0,1993,29,3.0,11.0,2,3,Bachelor's,2,Female,2.5,3.75,3.3333,3.0,3.3333,1.0
R_1fjWLKGZKiMGdgH,2022-11-16,1,747,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,2.0,1976,46,1.0,23.0,2,3,Bachelor's,1,Male,4.0,4.0,3.0,2.3333,3.0,1.0
R_DBQIEANYVvvK4iR,2022-11-16,1,25707,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Other",2.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1981,41,12.0,12.0,2,3,Bachelor's,2,Female,2.5,3.75,3.3333,2.3333,2.6667,1.0
R_3DwIg4X0zmV9MUE,2022-11-16,1,387,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1981,41,11.0,11.0,2,3,Bachelor's,1,Male,4.0,3.75,3.0,1.6667,1.6667,3.0
R_u3ScNTEU6Lm0fy9,2022-11-17,1,469,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",5.0,5.0,6.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,,,8.0,14.0,2,3,Bachelor's,1,Male,5.25,4.0,4.3333,3.6667,5.6667,4.0
R_25FVYhDUhepRyqg,2022-11-17,1,1724,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,5.0,3.0,4.0,1972,50,10.0,10.0,3,4,Master's,1,Male,2.0,2.25,3.3333,2.0,2.0,1.0
